Day One,Day Two,Day Three
 ,Eats anything
Chicken soup,Tripe soup,Beef soup
Chicken breast with rice,Salami pizza,Indian butter chicken
Tiramisu,Papanasi,Ice cream
 ,Vegetarian
Creamy tomato soup with croutons,Creamy mushroom soup,Creamy broccoli soup
Hawaian pizza,Quattro formaggi pizza,Arrabiata pasta
Ice cream,Lava cake,Chocolate cake
 ,Flexitarian
Fish soup,Seafood,Paella
Salmon with creamy dill sauce,Octopus with mashed potatoes,Cornmeal-crusted catfish
Red velvet cake,Ice cream,Chocolate cookies and donuts
